Iteration,xn,Error
1,[1;2.5;5],1
2,[3.825;1.5;5.875],0.738562091503268
3,[4.33375;2.65;6.33125],0.433962264150944
4,[4.5823125;2.7675;6.7459375],0.0614721823319591
5,[4.817509375;2.767375;6.837453125],0.0488212594293083
6,[4.86967453125;2.85751875;6.89622109375],0.0315461622080346
7,[4.9022708359375;2.8659709375;6.9317983203125],0.00664922558919907
8,[4.92246533320313;2.871595921875;6.94206044335938],0.00410251690944569
9,[4.9282584934961;2.87861453359375;6.94851531376953],0.00243819088552592
10,[4.9318675835127;2.87957465261719;6.95171825677246],0.000731789723768435
11,[4.93368365983413;2.88041831472461;6.95286055903247],0.000368097439286806
12,[4.93432633550126;2.88098366220732;6.95352549363969],0.000196234185612084
13,[4.93469969475255;2.88110551965873;6.95382749942715],7.5659974138318e-05
14,[4.93487061947689;2.88120159754813;6.95395130360282],3.46361105525356e-05
