Iteration,xn,fxn,E
0,0,-11,1.000005
1,-2.5,-3.78125,2.5
2,-3.75,4.05697572827198,1.25
3,-3.125,-0.247514006488339,0.625
4,-3.4375,1.80788665833855,0.3125
5,-3.28125,0.756021441039556,0.15625
6,-3.203125,0.248219418534426,0.078125
7,-3.1640625,-0.00115491915111221,0.0390625
8,-3.18359375,0.123155220682149,0.01953125
9,-3.173828125,0.0609059085934192,0.009765625
10,-3.1689453125,0.0298519360855689,0.0048828125
11,-3.16650390625,0.0143426190481772,0.00244140625
12,-3.165283203125,0.00659237762383924,0.001220703125
13,-3.1646728515625,0.00271836115895496,0.0006103515625
14,-3.16436767578125,0.000781628985039973,0.00030517578125
15,-3.16421508789062,-0.000186668087696518,0.000152587890625
16,-3.16429138183594,0.000297474697498856,7.62939453125e-05
17,-3.16425323486328,5.54018671081735e-05,3.814697265625e-05
18,-3.16423416137695,-6.56334697417549e-05,1.9073486328125e-05
19,-3.16424369812012,-5.11589117913047e-06,9.5367431640625e-06
20,-3.1642484664917,2.51429654998248e-05,4.76837158203125e-06
