n,x_m,x_i,x_s,f_m,f_i,f_s,E
0,1.74750426793686,1,9,0.177575553667127,0.0353660793802402,-0.343131605753804,1.000005
1,4.22080604954056,1.74750426793686,9,0.0750364249377728,0.177575553667127,-0.343131605753804,2.47330178160369
2,5.07838865224126,4.22080604954056,9,0.12696453852951,0.0750364249377728,-0.343131605753804,0.857582602700699
3,6.13754555262248,5.07838865224126,9,-0.479157331745232,0.12696453852951,-0.343131605753804,1.05915690038122
4,5.30025058081066,5.07838865224126,6.13754555262248,0.0261699992136136,0.12696453852951,-0.479157331745232,0.837294971811817
5,5.34361259076231,5.30025058081066,6.13754555262248,0.00183109995516195,0.0261699992136136,-0.479157331745232,0.0433620099516494
6,5.34663505557653,5.34361259076231,6.13754555262248,8.43474573859471e-05,0.00183109995516195,-0.479157331745232,0.00302246481422497
7,5.34677425734537,5.34663505557653,6.13754555262248,3.74602066122165e-06,8.43474573859471e-05,-0.479157331745232,0.000139201768837083
8,5.34678043949527,5.34677425734537,6.13754555262248,1.6608255437589e-07,3.74602066122165e-06,-0.479157331745232,6.18214990311117e-06
9,5.3467807135853,5.34678043949527,6.13754555262248,7.36283012336969e-09,1.6608255437589e-07,-0.479157331745232,2.74090023566487e-07
