N,xi_1,xi_2,xi_3,E
1,6.8,3.4,1.13333333333333,6.8
2,2.04,1.02,0.34,4.76
3,5.372,2.686,0.895333333333333,3.332
4,3.0396,1.5198,0.5066,2.3324
5,4.67228,2.33614,0.778713333333333,1.63268
6,3.529404,1.764702,0.588234,1.142876
7,4.3294172,2.1647086,0.721569533333333,0.8000132
8,3.76940796,1.88470398,0.62823466,0.56000924
9,4.161414428,2.080707214,0.693569071333333,0.392006468
10,3.8870099004,1.9435049502,0.6478349834,0.274404527600001
11,4.07909306972,2.03954653486,0.679848844953333,0.192083169320001
12,3.944634851196,1.972317425598,0.657439141866,0.134458218524001
13,4.0387556041628,2.0193778020814,0.673125934027133,0.0941207529668002
14,3.97287107708604,1.98643553854302,0.66214517951434,0.0658845270767596
15,4.01899024603977,2.00949512301989,0.669831707673295,0.0461191689537319
16,3.98670682777216,1.99335341388608,0.664451137962027,0.0322834182676126
17,4.00930522055949,2.00465261027974,0.668217536759915,0.0225983927873288
18,3.99348634560836,1.99674317280418,0.665581057601393,0.0158188749511301
19,4.00455955807415,2.00227977903707,0.667426593012358,0.0110732124657908
20,3.9968083093481,1.99840415467405,0.666134718224683,0.00775124872605337
21,4.00223418345633,2.00111709172817,0.667039030576056,0.00542587410823669
22,3.99843607158057,1.99921803579028,0.666406011930095,0.00379811187576529
23,4.0010947498936,2.0005473749468,0.666849124982267,0.00265867831303623
24,3.99923367507448,1.99961683753724,0.666538945845746,0.0018610748191259
25,4.00053642744787,2.00026821372393,0.666756071241311,0.00130275237338839
26,3.99962450078649,1.99981225039325,0.666604083464416,0.000911926661371965
27,4.00026284944945,2.00013142472473,0.666710474908242,0.000638348662960198
28,3.99981600538538,1.99990800269269,0.666636000897564,0.000446844064072138
29,4.00012879623023,2.00006439811512,0.666688132705039,0.000312790844850142
30,3.99990984263884,1.99995492131942,0.666651640439806,0.000218953591394566
31,4.00006311015281,2.00003155507641,0.666677185025469,0.000153267513976374
32,3.99995582289303,1.99997791144652,0.666659303815505,0.000107287259783817
33,4.00003092397488,2.00001546198744,0.66667182066248,7.51010818493825e-05
34,3.99997835321758,1.99998917660879,0.666663058869598,5.2570757294923e-05
35,4.00001515274769,2.00000757637385,0.666669192124615,3.67995301067126e-05
36,3.99998939307662,1.99999469653831,0.666664898846103,2.57596710753205e-05
37,4.00000742484637,2.00000371242318,0.666667904141061,1.8031769752902e-05
38,3.99999480260754,1.99999740130377,0.66666580043459,1.26222388270314e-05
39,4.00000363817472,2.00000181908736,0.66666727302912,8.83556717878875e-06
40,3.9999974532777,1.99999872663885,0.666666242212949,6.18489702519653e-06
41,4.00000178270561,2.00000089135281,0.666666963784269,4.32942791794844e-06
